product_id,seller_id,mp_id,category,marketplace_name,legal_entity
AT-001W,AT-001W,1364959290,Прочее,OZON,ИНТЕР
AT-002BE,AT-002BE,1364959245,Прочее,OZON,ИНТЕР
AT-002BK,AT-002BK,1364959265,Прочее,OZON,ИНТЕР
AT-002G,AT-002G,1364959302,Прочее,OZON,ИНТЕР
AT-003BK,AT-003BK,1364959303,Прочее,OZON,ИНТЕР
AT-003W,AT-003W,,Прочее,OZON,ИНТЕР
B-DRS1-1,B-DRS1-1,1448620704,Прочее,OZON,ИНТЕР
B-FCM1-1BK,B-FCM1-1BK,,Прочее,OZON,ИНТЕР
B-FCM1-1WT,B-FCM1-1WT,,Прочее,OZON,ИНТЕР
B-MCM1-1,B-MCM1-1,,Прочее,OZON,ИНТЕР
B-MG1-1,B-MG1-1,,Прочее,OZON,ИНТЕР
CHS1-1,CHS1-1,1793120033,Инструменты,OZON,ИНТЕР
CPT1-1BE,CPT1-1BE,,Коврики для ванной,OZON,ИНТЕР
CPT1-1GR,CPT1-1GR,,Коврики для ванной,OZON,ИНТЕР
CPT1-1MBE,CPT1-1MBE,,Коврики для ванной,OZON,ИНТЕР
DRL2-1,DRL2-1,1793089175,Инструменты,OZON,ИНТЕР
DY-DRL3-1,DY-DRL3-1,1793078777,Инструменты,OZON,ИНТЕР
DRL4-1,DRL4-1,1793090454,Инструменты,OZON,ИНТЕР
DRL5-1,DRL5-1,1793090873,Инструменты,OZON,ИНТЕР
DYDB1-1,DYDB1-1,1491493976,Инструменты,OZON,ИНТЕР
DYGR1-1,DYGR1-1,1392801013,Инструменты,OZON,ИНТЕР
DYWR1-1,DYWR1-1,1583345618,Инструменты,OZON,ИНТЕР
FP1-1,FP1-1,1696729548,Сковороды,OZON,ИНТЕР
FP1-2,FP1-2,1696729486,Сковороды,OZON,ИНТЕР
FP1-3,FP1-3,1696729455,Сковороды,OZON,ИНТЕР
GR1-2,GR1-2,1801814447,Инструменты,OZON,ИНТЕР
H-BOWL1-2,H-BOWL1-2,,Миски,OZON,ИНТЕР
H-BOWL1-2C,H-BOWL1-2C,,Миски,OZON,ИНТЕР
H-CPT2-1BE,H-CPT2-1BE,1583090984,Коврики для ванной,OZON,ИНТЕР
H-CPT2-1CA,H-CPT2-1CA,,Коврики для ванной,OZON,ИНТЕР
H-DSP1-1,H-DSP1-1,,Прочее,OZON,ИНТЕР
H-GFC2-1,H-GFC2-1,1469643443,Контейнеры,OZON,ИНТЕР
H-GFC1-1,H-GFC1-1,1364959264,Контейнеры,OZON,ИНТЕР
H-GFC1-2,H-GFC1-2,,Контейнеры,OZON,ИНТЕР
H-GFC1-3,H-GFC1-3,1485406925,Контейнеры,OZON,ИНТЕР
H-LB1-1GR,H-LB1-1GR,1364965523,Корзины для белья,OZON,ИНТЕР
H-LB1-1WT,H-LB1-1WT,1583090979,Корзины для белья,OZON,ИНТЕР
H-LED-1-1-15,H-LED-1-1-15,1556882940,Прочее,OZON,ИНТЕР
H-LED-1-1-20,H-LED-1-1-20,1392801040,Прочее,OZON,ИНТЕР
H-MOP1-1,H-MOP1-1,1408067223,Швабры,OZON,ИНТЕР
H-ORG1-1,H-ORG1-1,1491493956,Контейнеры,OZON,ИНТЕР
H-ORG1-2,H-ORG1-2,1556883058,Контейнеры,OZON,ИНТЕР
H-ORG1-3,H-ORG1-3,1391360600,Контейнеры,OZON,ИНТЕР
H-SJ1-1,H-SJ1-1,1392801064,Прочее,OZON,ИНТЕР
H-TC1-1WT,H-TC1-1WT,1416607746,Мусорные ведра,OZON,ИНТЕР
H-TC1-2WT,H-TC1-2WT,1573115196,Мусорные ведра,OZON,ИНТЕР
H-TC1-3WT,H-TC1-3WT,1573115848,Мусорные ведра,OZON,ИНТЕР
H-TC1-4WT,H-TC1-4WT,1573116073,Мусорные ведра,OZON,ИНТЕР
H-TC1-5WT,H-TC1-5WT,1573116336,Мусорные ведра,OZON,ИНТЕР
HL1-1,HL1-1,,Прочее,OZON,ИНТЕР
HNG1-1BK,HNG1-1BK,1364965321,Прочее,OZON,ИНТЕР
HNG1-1W,HNG1-1W,,Прочее,OZON,ИНТЕР
K-EBR-1-1,K-EBR-1-1,,Прочее,OZON,ИНТЕР
K-PMC1-1,K-PMC1-1,,Прочее,OZON,ИНТЕР
LDM1-1,LDM1-1,1364959242,Инструменты,OZON,ИНТЕР
