,,,,,12.9873,
Период,Артикул,Описание,Категория,"Себестоимость на март
 (С НДС, рубли)","Себестоимость единицы
 4_25 CNY с НДС",
март 2025,1_Кастрюли,PT1-1,Кастрюли 3 шт,1382,106.410,
март 2025,1_Кастрюли,PT1-2,Кастрюли 3 шт + сковорода,2287,176.120,
март 2025,1_Кастрюли,PT1-3,Кастрюли 4 шт,2377,183,
март 2025,1_Кастрюли,PT1-4,Набор 2 кастрюли + ковшик,1662,128,
март 2025,1_Кастрюли,PT1-5,Набор кастрюль 3 шт + ковшик,2429,187,
март 2025,1_Кастрюли,PT1-6,Набор 2 кастрюли + 1 большая,2052,158,
март 2025,1_Кастрюли,PT1-7,Набор кастрюля + ковшик,1143,88,
март 2025,1_Кастрюли,PT2-1RD,Набор кастрюль силиконовые ручки красные,1766,136,
март 2025,1_Кастрюли,PT2-2GR,Набор кастрюль силиконовые ручки серые,1805,139,
март 2025,1_Кастрюли,PT2-3GN,Набор кастрюль силиконовые ручки зелёные,1792,138,
март 2025,2_Зеркала,TM1-1WT,Зеркало с подсветкой белое,1429,110,
март 2025,2_Зеркала,TM1-1BK,Зеркало с подсветкой чёрное,1429,110,
март 2025,2_Зеркала,TM1-2WT,Зеркало 12 ламп белое,2182,168,
март 2025,2_Зеркала,TM1-2BK,Зеркало 12 ламп черное,2182,168,
март 2025,2_Зеркала,TM2-1WT,Зеркало овальное белое,1507,116,
март 2025,2_Зеркала,TM2-1BK,Зеркало овальное черное,1338,103,
март 2025,2_Зеркала,TM2-2WT,Зеркало прямоугольное светодиодное,1533,118,
март 2025,2_Зеркала,TM2-2BK,Зеркало прямоугольное светодиодное,1494,115,
март 2025,3_Контейнеры,H-GFC1-1,Набор стеклянных контейнеров 4 шт,698,53.783,
март 2025,3_Контейнеры,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA H-GFC1-3,948,73,
март 2025,3_Контейнеры,H-ORG1-1,Органайзер для косметики 12 шт.,584,45,
март 2025,3_Контейнеры,H-GFC1-2,Контейнеры для еды стекло 2 штуки,338,26,
март 2025,3_Контейнеры,H-GFC2-1,Набор круглых стеклянных контейнеров 3 штуки,571,44,
март 2025,3_Контейнеры,H-ORG1-2,Органайзер для косметики 9 шт.,455,35,
март 2025,4_Сковороды,FP1-1,Набор сковородок 3 предмета,1922,148,
март 2025,4_Сковороды,FP1-2,Набор сковородок 4 предмета,2286,176,
март 2025,4_Сковороды,FP1-3,Набор сковородок 9 предметов,3338,257,
март 2025,5_Коврики для ванной,CPT1-1GR,Коврик для ванной серый,766,59,
март 2025,5_Коврики для ванной,CPT1-1BE,Коврик для ванной бежевый,675,52,
март 2025,5_Коврики для ванной,CPT1-1MGR,коврик серый однотонный,740,57,
март 2025,5_Коврики для ванной,CPT1-1MBE,коврик бежевый однотонный,740,57,
март 2025,8_Корзины для белья,H-LB1-1GR,Корзина для белья серая,662,51,
март 2025,8_Корзины для белья,H-LB1-1WT,Корзина для белья белая,623,48,
март 2025,6_Швабры,H-MOP2-1,Швабра с распылителем,545,42,
март 2025,6_Швабры,H-MOP3-1,Умная швабра с отжимом и ведром,2429,187,
март 2025,6_Швабры,H-MOP1-1,Швабра с распылителем,416,32,
март 2025,7_Инструменты,DYDB1-1,Аккумуляторная дрель-шуруповерт phoq,2065,159,
март 2025,7_Инструменты,DYWR1-1,Аккумуляторный гайковерт phoq,3208,247,
март 2025,7_Инструменты,DYGR1-1,Аккумуляторная УШМ phoq,3675,283,
март 2025,7_Инструменты,DRL2-1,Rino щеточная дрель,1416,109,
март 2025,7_Инструменты,DY-DRL3-1,Phoq щеточная мини дрель,610,47,
март 2025,7_Инструменты,DRL4-1,Rino БЩ мини дрель ударная,1649,127,
март 2025,7_Инструменты,DRL5-1,Rino БЩ друль ударная,1857,143,
март 2025,7_Инструменты,GR1-2,Rino УШМ,2610,201,
март 2025,7_Инструменты,GR1-2C,Rino УШМ,3182,245,
март 2025,7_Инструменты,WR1-2,Rino гайковерт,2182,168,
март 2025,7_Инструменты,WR1-2C,Rino гайковерт,2714,209,
март 2025,7_Инструменты,CHS1-1,Rino мини цепная пила,1766,136,
март 2025,7_Инструменты,CHS1-1C,Rino мини цепная пила,2260,174,
март 2025,7_Инструменты,NHD1-1,Перфоратор сетевой,3013,232,
март 2025,9_Мусорные ведра,H-TC1-1WT,Мусорное ведро,636,49,
март 2025,9_Мусорные ведра,H-TC1-2WT,Мусорное ведро,675,52,
март 2025,9_Мусорные ведра,H-TC1-3WT,Мусорное ведро,649,50,
март 2025,9_Мусорные ведра,H-TC1-4WT,Мусорное ведро,909,70,
март 2025,9_Мусорные ведра,H-TC1-5WT,Мусорное ведро,844,65,
март 2025,Миски,H-BOWL1-2,Миски набор 5 шт,649,50,
март 2025,Миски,H-BOWL1-2C,Миски набор 5 шт ЦВЕТНЫЕ,0,0,
март 2025,Прочее,BS1-1GR,"Стеллаж для книг и игрушек, серый",831,64,
март 2025,Прочее,BS1-1BR,"Стеллаж для книг и игрушек, коричневый",831,64,
март 2025,Прочее,HNG1-1BK,Вешалка шкаф черная,909,70,
март 2025,Прочее,HNG1-1W,Вешалка шкаф белая,831,64,
март 2025,Прочее,SHC1-2,Обувница,610,47,
март 2025,Прочее,SHC1-1BR,Обувница кор.,0,0,
март 2025,Прочее,AT-003BK,Вешалка,987,76,
март 2025,Прочее,AT-003W,Вешалка,987,76,
март 2025,Прочее,B-MCM1-1,Микротоковый массажер для лица,753,58,
март 2025,Прочее,B-MG1-1,Массажный пистолет AQRA,2208,170,
март 2025,4_Сковороды,FP1-4,Набор сковородок со съёмными ручками и ковшом,4299,331,
март 2025,4_Сковороды,FP1-5,Сковорода 24 см со съёмной ручкой,987,76,
март 2025,4_Сковороды,FP1-6,Сковорода 26 см со съёмной ручкой,987,76,
март 2025,3_Контейнеры,H-ORG1-3,НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ AQRA НЕ ДЛЯ ПИЩЕВЫХ ПРОДУКТОВ,841,,"старые позиции, в остатках и приходах нет"
март 2025,6_Швабры,Н-МОР3-1,Швабра с 2 насадками и 3 сменными тряпками с ведром,2573,,---
март 2025,Прочее,AT-001W,"Коробка для обуви ,белый",380,,---
март 2025,Прочее,AT-002BE,"Коробка для хранения ,бежевый",583,,---
март 2025,Прочее,AT-002BK,"Коробка для хранения ,черный",583,,---
март 2025,Прочее,AT-002G,"Коробка для хранения ,серый",583,,---
март 2025,Прочее,B-DRS1-1,МАССАЖЕР ЭЛЕКТРИЧЕСКИЙ ДАРСОНВАЛЬ ИМПУЛЬСНЫЙ МАССАЖЕР,635,,---
март 2025,Прочее,K-EBR-1-1,КРАСКИ ДЛЯ РИСОВАНИЯ НА ВОДЕ ЭБРУ,371,,---
март 2025,Прочее,PHA1-1GR,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,661,,---
март 2025,Прочее,PHA1-1PK,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,661,,---
март 2025,Прочее,PHA1-1RD,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,661,,---
март 2025,Прочее,SHC1-1BK,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,704,,---
март 2025,Прочее,SHC1-1GR,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,704,,---
