,,,,,"11,75"
Период,Артикул,Описание,Категория,"Себестоимость на апрель
 (С НДС, рубли)","Себестоимость единицы
 5_25 CNY с НДС"
май 2025,1_Кастрюли,PT1-1,Кастрюли 3 шт,1250,"106,410"
май 2025,1_Кастрюли,PT1-2,Кастрюли 3 шт + сковорода,2069,"176,120"
май 2025,1_Кастрюли,PT1-3,Кастрюли 4 шт,2150,183
май 2025,1_Кастрюли,PT1-4,Набор 2 кастрюли + ковшик,1504,128
май 2025,1_Кастрюли,PT1-5,Набор кастрюль 3 шт + ковшик,2197,187
май 2025,1_Кастрюли,PT1-6,Набор 2 кастрюли + 1 большая,1857,158
май 2025,1_Кастрюли,PT1-7,Набор кастрюля + ковшик,1034,88
май 2025,1_Кастрюли,PT2-1RD,Набор кастрюль силиконовые ручки красные,1598,136
май 2025,1_Кастрюли,PT2-2GR,Набор кастрюль силиконовые ручки серые,1633,139
май 2025,1_Кастрюли,PT2-3GN,Набор кастрюль силиконовые ручки зелёные,1622,138
май 2025,2_Зеркала,TM1-1WT,Зеркало с подсветкой белое,1293,110
май 2025,2_Зеркала,TM1-1BK,Зеркало с подсветкой чёрное,1293,110
май 2025,2_Зеркала,TM1-2WT,Зеркало 12 ламп белое,1974,168
май 2025,2_Зеркала,TM1-2BK,Зеркало 12 ламп черное,1974,168
май 2025,2_Зеркала,TM2-1WT,Зеркало овальное белое,1363,116
май 2025,2_Зеркала,TM2-1BK,Зеркало овальное черное,1210,103
май 2025,2_Зеркала,TM2-2WT,Зеркало прямоугольное светодиодное,1387,118
май 2025,2_Зеркала,TM2-2BK,Зеркало прямоугольное светодиодное,1351,115
май 2025,3_Контейнеры,H-GFC1-1,Набор стеклянных контейнеров 4 шт,632,"53,783"
май 2025,3_Контейнеры,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA H-GFC1-3,858,73
май 2025,3_Контейнеры,H-ORG1-1,Органайзер для косметики 12 шт.,529,45
май 2025,3_Контейнеры,H-GFC1-2,Контейнеры для еды стекло 2 штуки,306,26
