,,,,
Период,Артикул,Описание,Категория,"Себестоимость 
единицы, c НДС
 6_25 РУБ"
июнь 2025,1_Кастрюли,PT1-1,Кастрюли 3 шт,1 189
июнь 2025,1_Кастрюли,PT1-2,Кастрюли 3 шт + сковорода,1 939
июнь 2025,1_Кастрюли,PT1-3,Кастрюли 4 шт,2 069
июнь 2025,1_Кастрюли,PT1-4,Набор 2 кастрюли + ковшик,1 447
июнь 2025,1_Кастрюли,PT1-5,Набор кастрюль 3 шт + ковшик,2 064
июнь 2025,1_Кастрюли,PT1-6,Набор 2 кастрюли + 1 большая,1 786
июнь 2025,1_Кастрюли,PT1-7,Набор кастрюля + ковшик,995
июнь 2025,1_Кастрюли,PT2-1RD,Набор кастрюль силиконовые ручки красные,1 537
июнь 2025,1_Кастрюли,PT2-2GR,Набор кастрюль силиконовые ручки серые,1 548
июнь 2025,1_Кастрюли,PT2-3GN,Набор кастрюль силиконовые ручки зелёные,1 560
июнь 2025,2_Зеркала,TM1-1WT,Зеркало с подсветкой белое,1 243
июнь 2025,2_Зеркала,TM1-1BK,Зеркало с подсветкой чёрное,1 243
июнь 2025,2_Зеркала,TM1-2WT,Зеркало 12 ламп белое,1 899
июнь 2025,2_Зеркала,TM1-2BK,Зеркало 12 ламп черное,1 899
июнь 2025,2_Зеркала,TM2-1WT,Зеркало овальное белое,1 311
июнь 2025,2_Зеркала,TM2-1BK,Зеркало овальное черное,1 164
июнь 2025,2_Зеркала,TM2-2WT,Зеркало прямоугольное светодиодное,1 334
июнь 2025,2_Зеркала,TM2-2BK,Зеркало прямоугольное светодиодное,1 300
июнь 2025,3_Контейнеры,H-GFC1-1,Набор стеклянных контейнеров 4 шт,584
июнь 2025,3_Контейнеры,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA H-GFC1-3,825
июнь 2025,3_Контейнеры,H-ORG1-1,Органайзер для косметики 12 шт.,509
июнь 2025,3_Контейнеры,H-GFC1-2,Контейнеры для еды стекло 2 штуки,294
июнь 2025,3_Контейнеры,H-GFC2-1,Набор круглых стеклянных контейнеров 3 штуки,497
июнь 2025,3_Контейнеры,H-ORG1-2,Органайзер для косметики 9 шт.,396
июнь 2025,3_Контейнеры,H-ORG1-3,Органайзер для косметики 9 шт.,0
июнь 2025,4_Сковороды,FP1-1,Набор сковородок 3 предмета,1 673
июнь 2025,4_Сковороды,FP1-2,Набор сковородок 4 предмета,1 990
июнь 2025,4_Сковороды,FP1-3,Набор сковородок 9 предметов,2 905
июнь 2025,4_Сковороды,FP1-4,Набор сковородок 9 предметов,3 742
июнь 2025,4_Сковороды,FP1-5,Набор сковородок 9 предметов,859
июнь 2025,4_Сковороды,FP1-6,Набор сковородок 9 предметов,859
июнь 2025,5_Коврики для ванной,CPT1-1GR,Коврик для ванной серый,667
июнь 2025,5_Коврики для ванной,CPT1-1BE,Коврик для ванной бежевый,588
июнь 2025,5_Коврики для ванной,CPT1-1MGR,коврик серый однотонный,644
июнь 2025,5_Коврики для ванной,CPT1-1MBE,коврик бежевый однотонный,644
июнь 2025,8_Корзины для белья,H-LB1-1GR,Корзина для белья серая,577
июнь 2025,8_Корзины для белья,H-LB1-1WT,Корзина для белья белая,543
июнь 2025,6_Швабры,H-MOP2-1,Швабра с распылителем,475
июнь 2025,6_Швабры,H-MOP3-1,Умная швабра с отжимом и ведром,2 114
июнь 2025,6_Швабры,H-MOP1-1,Швабра с распылителем,362
июнь 2025,7_Инструменты,DYDB1-1,Аккумуляторная дрель-шуруповерт phoq,1 797
июнь 2025,7_Инструменты,DYWR1-1,Аккумуляторный гайковерт phoq,2 792
июнь 2025,7_Инструменты,DYGR1-1,Аккумуляторная УШМ phoq,3 199
июнь 2025,7_Инструменты,DRL2-1,Rino щеточная дрель,1 232
июнь 2025,7_Инструменты,DY-DRL3-1,Phoq щеточная мини дрель,531
июнь 2025,7_Инструменты,DRL4-1,Rino БЩ мини дрель ударная,1 436
июнь 2025,7_Инструменты,DRL5-1,Rino БЩ друль ударная,1 616
июнь 2025,7_Инструменты,GR1-2,Rino УШМ,2 272
июнь 2025,7_Инструменты,GR1-2C,Rino УШМ,2 770
июнь 2025,7_Инструменты,WR1-2,Rino гайковерт,1 899
июнь 2025,7_Инструменты,WR1-2C,Rino гайковерт,2 363
июнь 2025,7_Инструменты,CHS1-1,Rino мини цепная пила,1 537
июнь 2025,7_Инструменты,CHS1-1C,Rino мини цепная пила,1 967
июнь 2025,7_Инструменты,NHD1-1,Перфоратор сетевой,2 623
июнь 2025,9_Мусорные ведра,H-TC1-1WT,Мусорное ведро,554
июнь 2025,9_Мусорные ведра,H-TC1-2WT,Мусорное ведро,588
июнь 2025,9_Мусорные ведра,H-TC1-3WT,Мусорное ведро,565
июнь 2025,9_Мусорные ведра,H-TC1-4WT,Мусорное ведро,791
июнь 2025,9_Мусорные ведра,H-TC1-5WT,Мусорное ведро,735
июнь 2025,Прочее,H-BOWL1-2,Миски набор 5 шт,565
июнь 2025,Прочее,H-BOWL1-2C,Миски набор 5 шт ЦВЕТНЫЕ,0
июнь 2025,Прочее,BS1-1GR,"Стеллаж для книг и игрушек, серый",723
июнь 2025,Прочее,BS1-1BR,"Стеллаж для книг и игрушек, коричневый",723
июнь 2025,Прочее,HNG1-1BK,Вешалка шкаф черная,791
