Период,Артикул,Описание,"Себес 
 (С НДС, Юани)",Курс,"Себестоимость на январь
 (С НДС, рубли)"
Январь 2025,AT-001W,"Коробка для обуви ,белый",27.53846,13.9121,383
Январь 2025,AT-002BE,"Коробка для хранения ,бежевый",42.276598,13.9121,588
Январь 2025,AT-002BK,"Коробка для хранения ,черный",42.261418,13.9121,588
Январь 2025,AT-002G,"Коробка для хранения ,серый",42.260469,13.9121,588
Январь 2025,AT-003BK,"Вешалка напольная ,черный",76.353459,13.9121,1062
Январь 2025,AT-003W,"Вешалка напольная ,белый",76.432203,13.9121,1063
Январь 2025,B-DRS1-1,МАССАЖЕР ЭЛЕКТРИЧЕСКИЙ ДАРСОНВАЛЬ ИМПУЛЬСНЫЙ МАССАЖЕР,46.064813,13.9121,641
Январь 2025,B-MCM1-1,МИКРОТОКОВЫЙ МАССАЖЕР ДЛЯ ЛИЦА АППАРАТ ДЛЯ УЛЬТРАЗВУКОВОЙ ЧИСТКИ ЛИЦА,57.614716,13.9121,802
Январь 2025,B-MG1-1,"Массажный пистолет AQRA,",169.53261,13.9121,2359
Январь 2025,BS1-1BR,Книжная полка (стеллаж),59.447267,13.9121,827
Январь 2025,BS1-1GR,Книжная полка(стеллаж),59.447267,13.9121,827
Январь 2025,CHS1-1,Пила аккумуляторная цепная бесщеточная,131.72234,13.9121,1833
Январь 2025,CHS1-1С,Пила аккумуляторная цепная бесщеточная,168.88714,13.9121,2350
Январь 2025,CPT1-1BE,Коврик для пола бежевый,51.540841,13.9121,717
Январь 2025,CPT1-1GR,КОВРИК ДЛЯ ПОЛА,54.638364,13.9121,760
Январь 2025,CPT1-1MBE,Коврик для пола ТМ Aqra,54.472767,13.9121,758
Январь 2025,CPT1-1MGR,Коврик для пола ТМ Aqra,54.514762,13.9121,758
Январь 2025,DRL2-1,Дрель аккумуляторная ударная щеточная,104.81856,13.9121,1458
Январь 2025,DRL3-1,Аккумуляторная дщруль-шуруповерт,45.152218,13.9121,628
Январь 2025,DY-DRL3-1,Аккумуляторная дщруль-шуруповерт,45.152218,13.9121,628
Январь 2025,DRL4-1,Дрель аккумуляторная ударная бесщеточная мини,121.31705,13.9121,1688
Январь 2025,DRL5-1,Дрель аккумуляторная ударная бесщеточная,136.87338,13.9121,1904
Январь 2025,DYDB1-1,Дрель щеточная phoq,158.3673,13.9121,2203
Январь 2025,DYGR1-1,УШМ phoq,282.19473,13.9121,3926
Январь 2025,DYWR1-1,Гайковерт phoq,246.33605,13.9121,3427
Январь 2025,FP1-1,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,140.30978,13.9121,1952
Январь 2025,FP1-2,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,170.83824,13.9121,2377
Январь 2025,FP1-3,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,241.3087,13.9121,3357
Январь 2025,GR1-2,Машина угловая шлифовальная аккумуляторная бесщеточная,191.3306,13.9121,2662
Январь 2025,GR1-2C,Аккумуляторная угловая шлифовальная машина,237.44722,13.9121,3303
Январь 2025,H-BOWL1-2,салатник ТМ AQRA,49.508533,13.9121,689
Январь 2025,H-BOWL1-2C,Миски,56.84653,13.9121,791
Январь 2025,H-GFC1-1,Набор стеклянных контейнеров 4 шт AQRA,55.189155,13.9121,768
Январь 2025,H-GFC1-2,"Набор стеклянных контейнеров ""Aqra"" 2 шт",26.454927,13.9121,368
Январь 2025,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA,67.489295,13.9121,939
Январь 2025,H-GFC2-1,"Набор стеклянных контейнеров ""Aqra"" 3 шт круглые",44.432972,13.9121,618
Январь 2025,H-LB1-1GR,КОРЗИНА ДЛЯ БЕЛЬЯ AQRA,47.134119,13.9121,656
Январь 2025,H-LB1-1WT,КОРЗИНА ДЛЯ БЕЛЬЯ AQRA,46.509218,13.9121,647
Январь 2025,H-MOP1-1,Швабра с распылителем AQRA,31.549941,13.9121,439
Январь 2025,H-MOP2-1,Швабра с распылителем AQRA,42.874163,13.9121,596
